CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountClassBase,Alter
13,0,1,0,39,0,39,328,1,89,81,1,YES
3,0,14,0,46,0,14,60,2,0,15,1,YES
1,0,10,0,73,0,10,32,2,0,10,1,YES
3,0,12,5,12,0,12,139,1,79,34,1,YES
4,1,32,8,32,0,32,245,1,79,58,1,YES
0,0,8,1,8,0,8,31,1,12,10,1,YES
8,0,7,0,45,0,7,99,3,0,20,1,YES
2,0,14,4,15,2,9,179,1,68,40,1,YES
1,0,2,0,3,1,2,137,1,0,33,2,YES
22,0,25,5,126,0,25,381,5,78,81,5,YES
0,0,1,0,1,0,1,5,2,0,1,1,YES
5,0,9,1,46,0,9,129,3,61,26,2,YES
2,1,15,0,101,0,15,41,4,0,7,1,YES
5,0,14,3,14,0,14,62,1,59,16,3,YES
15,1,15,3,15,0,15,110,1,55,26,3,YES
4,0,4,0,19,0,4,23,2,0,5,1,YES
12,0,13,4,13,0,13,94,2,80,21,2,YES
3,0,7,1,7,0,7,71,2,57,16,2,YES
21,4,33,1,119,0,33,183,4,96,39,1,YES
20,0,34,13,153,0,34,857,5,89,178,9,YES
23,0,34,14,153,0,34,783,5,90,166,9,YES
24,0,32,11,151,1,31,809,5,88,173,7,YES
27,0,51,20,170,0,51,1256,5,92,265,11,YES
5,0,15,0,101,0,15,71,4,0,16,1,YES
5,0,15,0,101,0,15,71,4,0,16,1,YES
5,0,15,0,101,0,15,71,4,0,16,1,YES
5,0,16,0,102,0,16,81,4,0,18,1,YES
5,0,15,0,101,0,15,71,4,0,16,1,YES
5,0,16,0,102,0,16,81,4,0,18,1,YES
5,0,15,0,101,0,15,71,4,0,16,1,YES
7,0,16,1,102,0,16,92,4,93,20,1,YES
5,0,16,0,102,0,16,81,4,0,18,1,YES
12,0,21,0,107,0,21,265,4,0,56,1,YES
1,9,2,0,67,0,3,10,3,0,2,1,YES
6,0,8,5,75,0,8,78,4,62,13,2,YES
8,0,10,5,77,0,10,76,4,65,15,2,YES
11,0,10,6,77,0,10,252,4,80,54,4,YES
6,0,7,5,74,0,7,83,4,60,15,2,YES
6,0,7,5,74,0,7,78,4,57,15,2,YES
8,0,7,4,74,0,7,72,4,67,14,2,YES
6,0,7,5,74,0,7,70,4,57,12,2,YES
6,0,6,5,73,0,6,60,4,66,11,2,YES
0,0,3,0,70,0,3,19,4,0,3,1,YES
6,0,15,0,101,0,15,77,4,0,16,1,YES
46,0,67,10,153,0,67,912,4,92,216,3,YES
19,0,22,1,108,0,22,177,4,90,39,2,YES
7,0,18,0,104,0,18,105,4,0,23,2,YES
11,0,17,0,103,0,17,113,4,0,25,1,YES
20,0,23,1,109,0,23,261,4,91,51,3,YES
16,0,21,2,107,0,21,172,4,90,38,3,YES
88,0,25,0,111,0,25,287,4,0,51,2,YES
28,0,28,1,114,0,28,280,4,92,60,2,YES
23,0,24,3,110,0,24,190,4,91,41,3,YES
23,0,36,3,122,0,36,828,4,92,190,2,YES
